matricula;marca;modelo;precio;descuento;localizacion;tipo;kilometros;fecha matriculacion;potencia;garantia;puertas;cambio;imagen;descripcion
9810qre;land rover;discovery;8410.77;76.19;avila;turismo;367950;2000-10-02;161;22 meses;2 puertas;manual;coche/cocherojo.jpg;qre estas con las letras de mi matricula
1653evz;fiat;500;6983.47;73.58;cordoba;turismo;470827;1984-11-17;7;30 meses;5 puertas;automatico;coche/cochemarron.jpg;evz estas con las letras de mi matricula
6509wck;hyhundai;sonata;4742.91;80.67;valladolid;sedan;432910;1979-10-06;97;24 meses;3 puertas;manual;coche/cochenegro.jpg;wck estas con las letras de mi matricula
8890mgx;chevrolet;corvette;8080.25;64.35;malaga;descapotable;119016;2020-12-17;42;6 meses;4 puertas;automatico;coche/cochegranate.jpg;mgx estas con las letras de mi matricula
1101ons;chevrolet;cruze;1509.62;92.05;islas baleares;turismo;426266;2016-07-10;24;20 meses;3 puertas;automatico;coche/cochegranate.jpg;ons estas con las letras de mi matricula
9691epp;honda;jazz;4341.16;71.13;palencia;turismo;333985;1980-11-03;115;6 meses;4 puertas;manual;coche/cochegranate.jpg;epp estas con las letras de mi matricula
4917zid;fiat;tipo;7617.37;0.33;teruel;turismo;333798;1990-12-06;175;24 meses;4 puertas;automatico;coche/cocheturquesa.jpeg;zid estas con las letras de mi matricula
8982zjv;kia;picanto;9463.21;44.38;cuenca;sedan;485623;2012-01-27;145;14 meses;5 puertas;automatico;coche/cochenegro.jpg;zjv estas con las letras de mi matricula
7824fbl;fiat;doblo;2060.74;88.0;la rioja;sedan;444022;2017-02-22;94;14 meses;5 puertas;automatico;coche/cocheturquesa.jpeg;fbl estas con las letras de mi matricula
1628rka;audi;q5;2793.54;92.01;soria;sedan;89442;2015-11-10;124;2 meses;5 puertas;manual;coche/cochemarron.jpg;rka estas con las letras de mi matricula
3689sjn;ford;mondeo;2384.26;34.73;a coruna;descapotable;145321;2020-12-03;7;22 meses;4 puertas;automatico;coche/cocherojo.jpg;sjn estas con las letras de mi matricula
3630age;hyhundai;elantra;5431.41;52.57;avila;turismo;178957;1999-08-29;18;6 meses;2 puertas;manual;coche/cochenaranja.jpg;age estas con las letras de mi matricula
2105cei;citroen;c4;2533.03;33.31;almeria;descapotable;300893;1986-08-12;105;4 meses;3 puertas;automatico;coche/cocheturquesa.jpeg;cei estas con las letras de mi matricula
4774qvf;land rover;defender;2726.68;22.53;granada;sedan;267696;1986-07-08;28;24 meses;4 puertas;manual;coche/cocherojo.jpg;qvf estas con las letras de mi matricula
3202awc;lexus;rx;8221.54;74.66;murcia;sedan;462199;1997-11-09;169;4 meses;2 puertas;automatico;coche/cocheturquesa.jpeg;awc estas con las letras de mi matricula
2288xka;renault;captur;2333.04;71.06;melilla;turismo;189589;1980-08-12;46;12 meses;5 puertas;automatico;coche/cocherojo.jpg;xka estas con las letras de mi matricula
0910qeu;audi;a6;4065.21;85.68;santa cruz de tenerife;sedan;171304;1987-09-16;104;2 meses;3 puertas;manual;coche/cochenegro.jpg;qeu estas con las letras de mi matricula
9355tfc;fiat;tipo;2664.54;6.31;palencia;descapotable;341390;1978-10-04;75;30 meses;4 puertas;manual;coche/cochemarron.jpg;tfc estas con las letras de mi matricula
7645sby;ford;mondeo;1991.19;12.58;burgos;descapotable;174147;1992-02-13;75;28 meses;4 puertas;automatico;coche/cocherojo.jpg;sby estas con las letras de mi matricula
9183qlv;porsche;spyder;5078.96;93.58;guipuzcoa;descapotable;82333;1986-07-13;45;10 meses;3 puertas;automatico;coche/cochenaranja.jpg;qlv estas con las letras de mi matricula
3952oxg;ford;fiesta;5647.55;52.71;girona;descapotable;495856;1985-10-21;70;8 meses;2 puertas;manual;coche/cochenaranja.jpg;oxg estas con las letras de mi matricula
5090fbn;honda;cr-v;8357.07;17.16;las palmas;descapotable;401392;2011-09-26;125;22 meses;5 puertas;manual;coche/cochenegro.jpg;fbn estas con las letras de mi matricula
7251fgd;bmw;serie 3;8523.88;81.86;sevilla;turismo;323104;2002-03-22;91;30 meses;3 puertas;automatico;coche/cochemarron.jpg;fgd estas con las letras de mi matricula
5689nmz;fiat;doblo;2438.27;92.7;cuenca;sedan;466093;2001-04-14;22;18 meses;4 puertas;manual;coche/cochemarron.jpg;nmz estas con las letras de mi matricula
6882ieg;cadillac;ct6;8614.75;47.98;valencia;descapotable;70959;1980-04-25;162;6 meses;2 puertas;automatico;coche/cocherojo.jpg;ieg estas con las letras de mi matricula
0936lst;kia;rio;5091.91;82.87;granada;sedan;311013;1993-04-19;18;24 meses;4 puertas;automatico;coche/cochegranate.jpg;lst estas con las letras de mi matricula
2454oso;chevrolet;captiva;8595.6;28.22;caceres;turismo;94188;2003-11-27;60;22 meses;5 puertas;manual;coche/cocheturquesa.jpeg;oso estas con las letras de mi matricula
8311kjw;audi;q5;1062.49;30.75;jaen;turismo;248669;1999-08-13;121;12 meses;3 puertas;automatico;coche/cocherojo.jpg;kjw estas con las letras de mi matricula
6322ypg;chevrolet;captiva;9172.13;66.47;ourense;sedan;461534;1977-04-26;74;18 meses;4 puertas;manual;coche/cochemarron.jpg;ypg estas con las letras de mi matricula
5321ner;citroen;aircross;8677.67;43.07;pontevedra;descapotable;216803;2019-07-05;174;12 meses;3 puertas;automatico;coche/cocheturquesa.jpeg;ner estas con las letras de mi matricula
9972njl;fiat;panda;3609.43;79.31;albacete;turismo;49493;1992-12-03;76;16 meses;2 puertas;manual;coche/cocheturquesa.jpeg;njl estas con las letras de mi matricula
6557ixw;cadillac;ct6;2344.02;51.84;a coruna;descapotable;103116;2021-05-22;168;12 meses;3 puertas;manual;coche/cocheturquesa.jpeg;ixw estas con las letras de mi matricula
0962bgx;land rover;defender;8679.45;3.84;valladolid;descapotable;91053;2002-01-28;63;22 meses;5 puertas;automatico;coche/cochegranate.jpg;bgx estas con las letras de mi matricula
9224fpz;audi;tt;9568.1;3.24;almeria;descapotable;410225;1971-08-12;129;28 meses;2 puertas;manual;coche/cochemarron.jpg;fpz estas con las letras de mi matricula
2598bnl;ford;tourne;3972.91;41.08;guipuzcoa;descapotable;353190;1992-04-24;143;28 meses;4 puertas;manual;coche/cochemarron.jpg;bnl estas con las letras de mi matricula
6778iqo;honda;hr-v;4123.14;16.67;valladolid;descapotable;385062;2012-03-08;34;2 meses;4 puertas;automatico;coche/cocherojo.jpg;iqo estas con las letras de mi matricula
2669orm;citroen;c4;7591.67;78.95;huesca;turismo;193104;2000-03-01;31;22 meses;3 puertas;automatico;coche/cochegranate.jpg;orm estas con las letras de mi matricula
9541kkt;chevrolet;aveo;7102.75;75.51;cadiz;turismo;147738;1996-08-08;61;20 meses;5 puertas;manual;coche/cocherojo.jpg;kkt estas con las letras de mi matricula
7460kjz;audi;tt;5123.34;61.98;guipuzcoa;descapotable;362775;1970-11-09;53;12 meses;4 puertas;manual;coche/cochenegro.jpg;kjz estas con las letras de mi matricula
0087ozn;citroen;c4;2662.44;92.87;ceuta;sedan;225148;2009-03-03;149;22 meses;2 puertas;automatico;coche/cochenegro.jpg;ozn estas con las letras de mi matricula
2623sru;cadillac;ct6;4640.76;91.99;lugo;sedan;120804;1997-04-19;76;20 meses;5 puertas;manual;coche/cochenegro.jpg;sru estas con las letras de mi matricula
5759kho;audi;tt;1307.8;16.94;malaga;sedan;271746;2012-07-12;134;14 meses;4 puertas;automatico;coche/cochenegro.jpg;kho estas con las letras de mi matricula
7738cqn;seat;cordoba;4585.42;35.5;las palmas;sedan;53379;2009-02-01;51;4 meses;2 puertas;automatico;coche/cochegranate.jpg;cqn estas con las letras de mi matricula
0314dsc;citroen;c3;6170.49;80.16;la rioja;turismo;58621;1979-11-21;119;4 meses;4 puertas;manual;coche/cochemarron.jpg;dsc estas con las letras de mi matricula
1289ydw;citroen;aircross;9762.71;30.1;palencia;turismo;26732;1996-04-06;139;14 meses;3 puertas;automatico;coche/cochenegro.jpg;ydw estas con las letras de mi matricula
3360xuw;renault;captur;5640.01;27.41;huelva;turismo;183828;2014-06-25;197;24 meses;2 puertas;manual;coche/cocherojo.jpg;xuw estas con las letras de mi matricula
1900gwc;mercedes;clase a;1275.44;81.09;islas baleares;turismo;168673;2013-01-06;39;8 meses;2 puertas;automatico;coche/cocherojo.jpg;gwc estas con las letras de mi matricula
8998vgd;audi;tt;5097.19;79.79;asturias;descapotable;300580;1980-12-23;55;24 meses;4 puertas;manual;coche/cocherojo.jpg;vgd estas con las letras de mi matricula
8640alo;fiat;doblo;7070.09;93.2;murcia;turismo;149964;1971-01-31;47;18 meses;3 puertas;automatico;coche/cocheturquesa.jpeg;alo estas con las letras de mi matricula
5912kgn;land rover;discovery;4401.8;15.28;alaba;sedan;389926;2009-12-29;72;30 meses;2 puertas;automatico;coche/cochemarron.jpg;kgn estas con las letras de mi matricula
4119bqa;hyhundai;bayon;4886.72;23.83;asturias;turismo;254219;1992-07-22;60;22 meses;4 puertas;manual;coche/cochenaranja.jpg;bqa estas con las letras de mi matricula
6262mhk;kia;sorento;6130.37;25.47;leon;turismo;44587;2021-08-02;116;20 meses;2 puertas;automatico;coche/cocherojo.jpg;mhk estas con las letras de mi matricula
4020mmf;audi;a6;23.72;76.65;cuenca;sedan;187776;1973-11-29;151;22 meses;4 puertas;manual;coche/cochemarron.jpg;mmf estas con las letras de mi matricula
7878qef;fiat;500;563.29;94.99;barcelona;turismo;64987;2002-02-01;180;20 meses;2 puertas;manual;coche/cochenegro.jpg;qef estas con las letras de mi matricula
1831qmg;bmw;serie1;5185.16;20.8;a coruna;turismo;337;1979-07-21;197;14 meses;2 puertas;manual;coche/cochenegro.jpg;qmg estas con las letras de mi matricula
2568zvq;mercedes;clase c;7544.56;82.06;segovia;turismo;71032;1978-01-25;151;22 meses;2 puertas;manual;coche/cochemarron.jpg;zvq estas con las letras de mi matricula
9931xki;citroen;berlingo;1857.3;93.03;teruel;turismo;175876;1977-08-18;99;2 meses;3 puertas;automatico;coche/cochenegro.jpg;xki estas con las letras de mi matricula
6313fkv;ford;mondeo;2409.47;20.54;soria;turismo;74138;1983-07-23;111;16 meses;3 puertas;manual;coche/cochenegro.jpg;fkv estas con las letras de mi matricula
9172idw;fiat;panda;4630.19;64.92;huesca;descapotable;441858;1991-03-08;45;22 meses;2 puertas;automatico;coche/cochemarron.jpg;idw estas con las letras de mi matricula
7449wbi;bmw;serie 5;3997.56;13.97;ciudad real;descapotable;172720;2008-08-21;68;28 meses;3 puertas;automatico;coche/cochegranate.jpg;wbi estas con las letras de mi matricula
5878wpz;lexus;ns;8256.35;51.26;almeria;turismo;34432;1983-09-20;172;20 meses;5 puertas;manual;coche/cochegranate.jpg;wpz estas con las letras de mi matricula
8410pzj;citroen;aircross;1879.9;53.5;palencia;turismo;8102;1974-07-22;98;2 meses;4 puertas;manual;coche/cocheturquesa.jpeg;pzj estas con las letras de mi matricula
6984jik;bmw;serie 5;334.89;29.45;granada;descapotable;324499;1988-11-09;36;20 meses;2 puertas;automatico;coche/cochenaranja.jpg;jik estas con las letras de mi matricula
7935wfc;fiat;panda;4778.25;82.89;valladolid;turismo;467594;2008-05-14;161;6 meses;2 puertas;automatico;coche/cocherojo.jpg;wfc estas con las letras de mi matricula
9935tal;mercedes;clase c;6487.81;70.55;burgos;turismo;407416;1972-12-28;163;4 meses;3 puertas;manual;coche/cocheturquesa.jpeg;tal estas con las letras de mi matricula
5892kub;chevrolet;aveo;3903.02;26.08;burgos;turismo;37833;1995-01-02;130;16 meses;2 puertas;manual;coche/cochegranate.jpg;kub estas con las letras de mi matricula
4571plf;kia;picanto;3491.16;53.59;huelva;turismo;58555;1977-10-26;188;24 meses;4 puertas;manual;coche/cochenegro.jpg;plf estas con las letras de mi matricula
6620qvv;chevrolet;corvette;6380.01;28.78;asturias;descapotable;263281;1990-07-15;11;30 meses;3 puertas;manual;coche/cochegranate.jpg;qvv estas con las letras de mi matricula
1303ivr;honda;jazz;6380.66;56.59;lugo;turismo;309145;1999-07-10;40;6 meses;2 puertas;manual;coche/cocheturquesa.jpeg;ivr estas con las letras de mi matricula
2952eve;hyhundai;elantra;7615.36;36.25;guadalajara;sedan;487086;1981-07-07;178;8 meses;4 puertas;automatico;coche/cochenaranja.jpg;eve estas con las letras de mi matricula
0010rxd;land rover;discovery;6921.03;3.94;cadiz;turismo;26914;1980-03-10;107;30 meses;3 puertas;automatico;coche/cochegranate.jpg;rxd estas con las letras de mi matricula
0407uqd;citroen;berlingo;4875.66;40.72;cadiz;sedan;27389;2014-01-11;105;10 meses;3 puertas;automatico;coche/cocheturquesa.jpeg;uqd estas con las letras de mi matricula
0726apd;lexus;rx;8357.58;39.91;pontevedra;turismo;451094;1987-04-10;125;12 meses;5 puertas;manual;coche/cocherojo.jpg;apd estas con las letras de mi matricula
7276cso;kia;rio;8271.9;79.74;granada;turismo;489355;2013-12-07;47;10 meses;4 puertas;automatico;coche/cochenegro.jpg;cso estas con las letras de mi matricula
1872oxf;mercedes;clase a;6797.63;5.64;santa cruz de tenerife;sedan;307545;2018-09-29;193;10 meses;3 puertas;manual;coche/cochegranate.jpg;oxf estas con las letras de mi matricula
5406wtn;ford;custom;2637.37;51.9;lleida;turismo;218279;2007-04-03;162;30 meses;4 puertas;manual;coche/cochemarron.jpg;wtn estas con las letras de mi matricula
9924qcj;citroen;c4;4329.66;99.96;islas baleares;descapotable;238692;2002-05-30;131;6 meses;4 puertas;manual;coche/cochenaranja.jpg;qcj estas con las letras de mi matricula
3274wsy;ford;mondeo;6855.97;64.9;guipuzcoa;sedan;226813;1985-11-06;122;12 meses;3 puertas;automatico;coche/cochenegro.jpg;wsy estas con las letras de mi matricula
8687xpt;audi;tt;1968.1;22.21;palencia;descapotable;377415;2007-02-24;194;30 meses;5 puertas;automatico;coche/cochenegro.jpg;xpt estas con las letras de mi matricula
9160ydt;kia;picanto;774.08;97.27;alaba;sedan;438772;1975-08-29;162;18 meses;4 puertas;manual;coche/cocheturquesa.jpeg;ydt estas con las letras de mi matricula
3353wln;chevrolet;camaro;1400.27;5.48;burgos;turismo;402440;1991-12-02;36;22 meses;2 puertas;manual;coche/cocherojo.jpg;wln estas con las letras de mi matricula
5253znp;honda;cr-v;5872.68;72.11;asturias;sedan;331980;2009-11-14;54;14 meses;2 puertas;manual;coche/cochenaranja.jpg;znp estas con las letras de mi matricula
1300lsd;audi;a4;9434.46;52.99;cadiz;descapotable;248467;1973-12-20;148;16 meses;3 puertas;automatico;coche/cochemarron.jpg;lsd estas con las letras de mi matricula
9137oru;ford;mondeo;3686.18;59.88;lugo;descapotable;386838;2001-03-03;64;18 meses;4 puertas;automatico;coche/cocheturquesa.jpeg;oru estas con las letras de mi matricula
7334cng;citroen;c4;6452.83;82.31;teruel;sedan;126336;2019-09-05;63;4 meses;3 puertas;manual;coche/cochegranate.jpg;cng estas con las letras de mi matricula
5821yut;seat;cordoba;594.12;30.6;melilla;sedan;445917;2009-07-18;48;22 meses;3 puertas;manual;coche/cochegranate.jpg;yut estas con las letras de mi matricula
2941yvq;audi;tt;9102.89;74.21;almeria;turismo;55341;2014-07-28;66;8 meses;3 puertas;manual;coche/cocheturquesa.jpeg;yvq estas con las letras de mi matricula
7291eum;kia;rio;6663.12;96.62;melilla;descapotable;156224;1994-10-13;100;12 meses;3 puertas;manual;coche/cocherojo.jpg;eum estas con las letras de mi matricula
1041yrz;hyhundai;genesis;5940.21;40.1;pontevedra;turismo;416792;1980-05-29;69;6 meses;4 puertas;manual;coche/cochegranate.jpg;yrz estas con las letras de mi matricula
3871wvm;ford;tourne;9718.44;25.7;granada;turismo;175690;2006-09-08;22;30 meses;3 puertas;automatico;coche/cocheturquesa.jpeg;wvm estas con las letras de mi matricula
4893pqg;kia;picanto;9843.31;29.01;tarragona;turismo;255066;1992-10-07;64;8 meses;3 puertas;manual;coche/cocherojo.jpg;pqg estas con las letras de mi matricula
5380xye;lexus;ls;3853.97;49.25;salamanca;sedan;319731;1996-04-29;165;30 meses;4 puertas;automatico;coche/cochenaranja.jpg;xye estas con las letras de mi matricula
0784hrd;kia;picanto;720.23;14.83;pontevedra;sedan;302654;1993-10-07;165;28 meses;4 puertas;automatico;coche/cochemarron.jpg;hrd estas con las letras de mi matricula
0938nog;citroen;c3;403.5;30.63;valladolid;turismo;377876;2007-04-20;23;20 meses;3 puertas;automatico;coche/cochemarron.jpg;nog estas con las letras de mi matricula
4778gix;honda;cr-v;8343.97;29.23;las palmas;descapotable;386867;1980-01-18;7;24 meses;3 puertas;manual;coche/cocherojo.jpg;gix estas con las letras de mi matricula
7978yiv;ford;tourne;3733.25;63.27;alaba;sedan;64677;2008-08-31;76;12 meses;2 puertas;manual;coche/cochenegro.jpg;yiv estas con las letras de mi matricula
9289lmy;honda;hr-v;9805.46;5.9;almeria;descapotable;483323;1977-12-28;146;22 meses;4 puertas;automatico;coche/cochenegro.jpg;lmy estas con las letras de mi matricula
3255mjr;chevrolet;cruze;5970.63;20.81;caceres;sedan;357287;2014-05-25;199;30 meses;5 puertas;automatico;coche/cochenaranja.jpg;mjr estas con las letras de mi matricula
7087cir;kia;sorento;4404.18;18.06;girona;descapotable;212924;1998-01-05;166;20 meses;3 puertas;manual;coche/cocherojo.jpg;cir estas con las letras de mi matricula
0315dpo;porsche;spyder;3359.72;90.92;jaen;turismo;50302;2003-06-30;153;4 meses;5 puertas;manual;coche/cochenaranja.jpg;dpo estas con las letras de mi matricula
0027nfv;ford;tourne;8730.53;65.95;islas baleares;sedan;424781;1973-06-07;25;8 meses;2 puertas;automatico;coche/cochegranate.jpg;nfv estas con las letras de mi matricula
4461rkc;hyhundai;elantra;7889.55;20.91;segovia;sedan;162123;1983-05-01;49;22 meses;3 puertas;manual;coche/cocheturquesa.jpeg;rkc estas con las letras de mi matricula
0192kga;kia;sorento;6900.46;96.21;la rioja;turismo;251311;2017-07-07;145;10 meses;5 puertas;manual;coche/cochenegro.jpg;kga estas con las letras de mi matricula
6357ejb;ford;mondeo;9013.85;0.09;melilla;sedan;476560;1997-02-01;135;2 meses;4 puertas;manual;coche/cochegranate.jpg;ejb estas con las letras de mi matricula
2373oxt;audi;q5;4197.81;36.48;ourense;descapotable;466626;1986-05-10;91;16 meses;3 puertas;manual;coche/cochenaranja.jpg;oxt estas con las letras de mi matricula
4516krm;renault;megane;8009.49;64.1;vizcaya;turismo;33458;1993-03-02;109;22 meses;5 puertas;manual;coche/cochenaranja.jpg;krm estas con las letras de mi matricula
8445kpw;audi;tt;4137.83;9.72;avila;turismo;47813;2007-04-24;12;2 meses;5 puertas;manual;coche/cochenegro.jpg;kpw estas con las letras de mi matricula
7699goy;kia;sorento;535.12;56.44;alicante;sedan;200796;1988-09-20;164;8 meses;3 puertas;manual;coche/cochenegro.jpg;goy estas con las letras de mi matricula
0006pgn;ford;mondeo;7689.92;40.47;jaen;sedan;149831;1982-03-15;14;22 meses;2 puertas;manual;coche/cocherojo.jpg;pgn estas con las letras de mi matricula
2383qli;chevrolet;corvette;2317.71;69.04;cordoba;descapotable;234530;2021-06-30;81;10 meses;5 puertas;manual;coche/cochegranate.jpg;qli estas con las letras de mi matricula
4090vlo;porsche;spyder;8273.76;50.64;asturias;sedan;311475;2012-01-07;74;18 meses;4 puertas;manual;coche/cochemarron.jpg;vlo estas con las letras de mi matricula
4813ind;cadillac;escalade;4934.37;97.9;ourense;descapotable;128900;1985-03-23;147;4 meses;5 puertas;automatico;coche/cocheturquesa.jpeg;ind estas con las letras de mi matricula
3269kot;honda;hr-v;5672.36;34.81;cordoba;descapotable;438514;1987-07-06;174;30 meses;2 puertas;manual;coche/cocherojo.jpg;kot estas con las letras de mi matricula
9631xnu;audi;a3;7058.8;19.71;guadalajara;sedan;403905;2016-05-04;185;28 meses;4 puertas;manual;coche/cocherojo.jpg;xnu estas con las letras de mi matricula
1942dwd;audi;q5;2792.58;54.46;girona;turismo;305588;2014-03-04;41;24 meses;4 puertas;automatico;coche/cochemarron.jpg;dwd estas con las letras de mi matricula
2157wnt;honda;jazz;7870.07;33.59;palencia;sedan;280052;1970-05-23;166;12 meses;3 puertas;manual;coche/cocheturquesa.jpeg;wnt estas con las letras de mi matricula
5558icp;mercedes;vito;6077.63;13.72;huelva;descapotable;499791;1975-10-08;121;16 meses;5 puertas;manual;coche/cocheturquesa.jpeg;icp estas con las letras de mi matricula
3331noo;honda;hr-v;1562.77;37.03;lleida;descapotable;212094;1972-03-27;10;20 meses;5 puertas;automatico;coche/cochegranate.jpg;noo estas con las letras de mi matricula
5418lqh;hyhundai;elantra;1806.85;49.39;teruel;descapotable;411331;1973-06-30;83;14 meses;2 puertas;automatico;coche/cochenaranja.jpg;lqh estas con las letras de mi matricula
6490mgg;mercedes;clase c;6630.55;58.13;salamanca;descapotable;452746;1983-08-08;32;4 meses;4 puertas;manual;coche/cochemarron.jpg;mgg estas con las letras de mi matricula
2669elb;ford;focus;7087.86;51.53;tarragona;descapotable;118082;2005-03-11;113;24 meses;5 puertas;automatico;coche/cochenaranja.jpg;elb estas con las letras de mi matricula
7095onf;honda;cr-v;6367.1;27.59;girona;turismo;138238;2011-05-08;5;8 meses;3 puertas;automatico;coche/cochegranate.jpg;onf estas con las letras de mi matricula
9460tww;cadillac;ats;8450.12;72.27;soria;sedan;330571;2009-05-14;74;10 meses;3 puertas;automatico;coche/cocheturquesa.jpeg;tww estas con las letras de mi matricula
4763yma;citroen;c3;8823.62;49.38;madrid;descapotable;140703;2002-11-02;182;24 meses;5 puertas;automatico;coche/cocherojo.jpg;yma estas con las letras de mi matricula
8729rtj;ford;focus;3529.76;72.13;melilla;turismo;356239;2021-04-13;54;4 meses;4 puertas;manual;coche/cocherojo.jpg;rtj estas con las letras de mi matricula
5056oiy;cadillac;ct6;9063.49;61.61;madrid;sedan;277191;1991-10-16;184;2 meses;3 puertas;manual;coche/cocheturquesa.jpeg;oiy estas con las letras de mi matricula
0414brv;kia;sportage;8080.14;11.27;malaga;sedan;481454;2012-10-23;109;2 meses;5 puertas;automatico;coche/cocherojo.jpg;brv estas con las letras de mi matricula
8766yoi;audi;a3;2268.13;85.97;a coruna;descapotable;358577;1973-10-19;194;20 meses;3 puertas;automatico;coche/cochenaranja.jpg;yoi estas con las letras de mi matricula
7994mlq;renault;megane;1190.41;8.9;alicante;descapotable;39169;1990-07-18;31;6 meses;4 puertas;automatico;coche/cochenaranja.jpg;mlq estas con las letras de mi matricula
0299azl;chevrolet;aveo;2248.44;96.47;huesca;sedan;425382;2005-05-29;77;24 meses;2 puertas;automatico;coche/cocheturquesa.jpeg;azl estas con las letras de mi matricula
9837bwd;citroen;aircross;2129.92;96.11;zaragoza;sedan;108573;2011-11-14;127;20 meses;4 puertas;manual;coche/cochenaranja.jpg;bwd estas con las letras de mi matricula
3038bek;audi;tt;2383.83;98.71;ourense;descapotable;263686;1983-06-26;16;20 meses;3 puertas;automatico;coche/cochemarron.jpg;bek estas con las letras de mi matricula
0455uda;mercedes;vito;8565.73;43.83;lleida;turismo;461249;1979-08-17;193;2 meses;3 puertas;manual;coche/cochenaranja.jpg;uda estas con las letras de mi matricula
